Mouse ID,Treatment,Day 14 Tumor Bioluminescence (Photons/s),Tumor Mass (g),%CD45+CD3+ of Live Cells,mouse_id,sample_type,sample,total_rna
31,αPD-1,3.34E+09,0.4056,2.8891,31,Spleen,31S,69508
31,αPD-1,3.34E+09,0.4056,2.8891,31,Tumor,31T,34364
32,αPD-1,1.48E+09,0.293,5.2962,32,Spleen,32S,60034
32,αPD-1,1.48E+09,0.293,5.2962,32,Tumor,32T,40746
33,αPD-1,5.52E+08,0.2463,4.173,33,Spleen,33S,103510
33,αPD-1,5.52E+08,0.2463,4.173,33,Tumor,33T_R,30437
34,αPD-1,2.25E+08,0.3777,2.6815,34,Spleen,34S,107082
34,αPD-1,2.25E+08,0.3777,2.6815,34,Tumor,34T_R,32851
35,αPD-1,2.60E+09,0.2378,9.8888,35,Spleen,35S,83698
35,αPD-1,2.60E+09,0.2378,9.8888,35,Tumor,35T,25242
41,αPD-1,3.43E+08,0.2553,3.611,41,Spleen,41S,105620
41,αPD-1,3.43E+08,0.2553,3.611,41,Tumor,41T,27073
42,αPD-1,6.43E+08,0.3083,4.7596,42,Spleen,42S,73683
42,αPD-1,6.43E+08,0.3083,4.7596,42,Tumor,42T,32414
51,VV-IL-2,3.80E+08,0.0956,21.2424,51,Spleen,51S,84231
51,VV-IL-2,3.80E+08,0.0956,21.2424,51,Tumor,51T_R,31399
52,VV-IL-2,1.04E+08,0.2346,1.95536,52,Spleen,52S_R,41024
52,VV-IL-2,1.04E+08,0.2346,1.95536,52,Tumor,52T_Reamp,25222
53,VV-IL-2,0.00E+00,0.1221,8.8803,53,Spleen,53S,97347
53,VV-IL-2,0.00E+00,0.1221,8.8803,53,Tumor,53T_Reamp,48748
54,VV-IL-2,0.00E+00,0.0969,6.943,54,Tumor,54T,34781
55,VV-IL-2,3.01E+07,0.0218,11.8668,55,Spleen,55S,90307
55,VV-IL-2,3.01E+07,0.0218,11.8668,55,Tumor,55T_R,36579
61,VV-IL-2,0.00E+00,0.0524,36.5904,61,Spleen,61S,50673
61,VV-IL-2,0.00E+00,0.0524,36.5904,61,Tumor,61T_R,40625
62,VV-IL-2,0.00E+00,0.0335,32.412,62,Spleen,62S,162342
62,VV-IL-2,0.00E+00,0.0335,32.412,62,Tumor,62T_Reamp,36504
63,VV-IL-2,0.00E+00,0.1586,13.179,63,Spleen,63S_Reamp,6028
63,VV-IL-2,0.00E+00,0.1586,13.179,63,Tumor,63T,27083
64,VV-IL-2,7.90E+08,0.206,16.801,64,Spleen,64S,20091
64,VV-IL-2,7.90E+08,0.206,16.801,64,Tumor,64T_Reamp_R,34801
65,VV-IL-2,0.00E+00,0.0978,45.5952,65,Spleen,65S_R,163945
65,VV-IL-2,0.00E+00,0.0978,45.5952,65,Tumor,65T_R,32016
71,combo,7.42E+08,0.0637,29.3739,71,Spleen,71S,64143
71,combo,7.42E+08,0.0637,29.3739,71,Tumor,71T_R,62809
72,combo,0.00E+00,0.0117,19.7169,72,Spleen,72S,66384
72,combo,0.00E+00,0.0117,19.7169,72,Tumor,72T_Reamp,16542
73,combo,3.92E+07,0.0199,36.1743,73,Spleen,73S,114629
73,combo,3.92E+07,0.0199,36.1743,73,Tumor,73T_R_Reamp,39594
81,combo,3.17E+07,0.1312,7.813,81,Spleen,81S,184367
81,combo,3.17E+07,0.1312,7.813,81,Tumor,81T,65015
82,combo,0.00E+00,0.0786,5.7603,82,Spleen,82S_R,163554
82,combo,0.00E+00,0.0786,5.7603,82,Tumor,82T_Reamp,45638
83,combo,4.16E+05,0.0148,17.484,83,Spleen,83S,113717
83,combo,4.16E+05,0.0148,17.484,83,Tumor,83T_R,17253
84,combo,0.00E+00,0.1063,6.6178,84,Spleen,84S_R,24318
84,combo,0.00E+00,0.1063,6.6178,84,Tumor,84T,828
85,combo,0.00E+00,0.1397,8.109,85,Spleen,85S,89991
85,combo,0.00E+00,0.1397,8.109,85,Tumor,85T_R,25156
